state,pvi_538,party,lean,dem_lean,rep_lean
Alabama,R+27,R,27,-27,27
Alaska,R+15,R,15,-15,15
Arizona,R+9,R,9,-9,9
Arkansas,R+24,R,24,-24,24
California,D+24,D,24,24,-24
Colorado,D+1,D,1,1,-1
Connecticut,D+11,D,11,11,-11
Delaware,D+14,D,14,14,-14
Florida,R+5,R,5,-5,5
Georgia,R+12,R,12,-12,12
Hawaii,D+36,D,36,36,-36
Idaho,R+35,R,35,-35,35
Illinois,D+13,D,13,13,-13
Indiana,R+18,R,18,-18,18
Iowa,R+6,R,6,-6,6
Kansas,R+23,R,23,-23,23
Kentucky,R+23,R,23,-23,23
Louisiana,R+17,R,17,-17,17
Maine,D+5,D,5,5,-5
Maryland,D+23,D,23,23,-23
Massachusetts,D+29,D,29,29,-29
Michigan,D+1,D,1,1,-1
Minnesota,D+2,D,2,2,-2
Mississippi,R+15,R,15,-15,15
Missouri,R+19,R,19,-19,19
Montana,R+18,R,18,-18,18
Nebraska,R+24,R,24,-24,24
Nevada,R+1,R,1,-1,1
New Hampshire,R+2,R,2,-2,2
New Jersey,D+13,D,13,13,-13
New Mexico,D+7,D,7,7,-7
New York,D+22,D,22,22,-22
North Carolina,R+5,R,5,-5,5
North Dakota,R+33,R,33,-33,33
Ohio,R+7,R,7,-7,7
Oklahoma,R+34,R,34,-34,34
Oregon,D+9,D,9,9,-9
Pennsylvania,R+1,R,1,-1,1
Rhode Island,D+26,D,26,26,-26
South Carolina,R+17,R,17,-17,17
South Dakota,R+31,R,31,-31,31
Tennessee,R+28,R,28,-28,28
Texas,R+17,R,17,-17,17
Utah,R+31,R,31,-31,31
Vermont,D+24,D,24,24,-24
Virginia,D+0,D,0,0,0
Washington,D+12,D,12,12,-12
West Virginia,R+30,R,30,-30,30
Wisconsin,R+1,R,1,-1,1
Wyoming,R+47,R,47,-47,47
